"date_site","date","sites","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location","date_orig","month","day","year","ext_95"
"2024-06-24_Open_SMO9",2024-06-24,"Open_SMO9",30.6472222222222,21,30.2527777777778,70.265,31.8888888888889,21.7777777777778,30.8888888888889,73.2,28.2512345679012,18.7993827160494,27.6641975308642,42.0555555555556,25.0555555555556,16.6111111111111,25.2777777777778,30.225,"open","urban","2024-06-24",6,24,2024,0
"2024-06-24_Open1_SLO1",2024-06-24,"Open1_SLO1",35.4444444444444,22.8138888888889,36.2777777777778,74.12,36.2777777777778,23.2777777777778,37.2777777777778,76,30.0518518518519,20.1283950617284,30.3061728395062,41.9988888888889,25.3333333333333,16.7222222222222,24.9888888888889,28.145,"open","urban","2024-06-24",6,24,2024,1
"2024-06-24_SweetHope_SH4",2024-06-24,"SweetHope_SH4",29.2777777777778,20.1111111111111,28.4,64.785,29.8333333333333,20.7222222222222,29.2222222222222,68.5,27.3191358024691,18.2617283950617,26.5240740740741,42.96,24.8888888888889,16.7222222222222,25,30.835,"open","urban","2024-06-24",6,24,2024,0
"2024-06-25_Classroom_SMC7",2024-06-25,"Classroom_SMC7",30.2527777777778,19.95,29.7222222222222,62.955,30.5555555555556,20.2222222222222,30.1111111111111,67,27.0611111111111,18.0641975308642,26.4006172839506,42.8966666666667,19.1111111111111,15.075,18.3277777777778,32.135,"forest","urban","2024-06-25",6,25,2024,0
"2024-06-25_Forest3_SLR3",2024-06-25,"Forest3_SLR3",30.6416666666667,22.2222222222222,31.8388888888889,79,31.3333333333333,22.3888888888889,32.5,82.2,26.0759259259259,19.9141975308642,26.6703703703704,58.8133333333333,17.4944444444444,15.125,17.1861111111111,43.5,"forest","urban","2024-06-25",6,25,2024,0
"2024-06-25_NEON007_N7",2024-06-25,"NEON007_N7",32.0861111111111,22,32.3388888888889,73.835,33.2777777777778,22.3888888888889,34.1111111111111,81.4,28.2296296296296,19.5574074074074,28.3222222222222,46.7444444444444,19.1583333333333,16.125,18.825,29.135,"open","exurban","2024-06-25",6,25,2024,0
"2024-06-25_NEON019_N19",2024-06-25,"NEON019_N19",28.1972222222222,22.6111111111111,29.5,88.255,28.6111111111111,22.7222222222222,30.2222222222222,88.9,24.6358024691358,20.4197530864198,25.6166666666667,70.1311111111111,16.5805555555556,15.1861111111111,16.6111111111111,50.635,"forest","exurban","2024-06-25",6,25,2024,0
"2024-06-25_Open_SMO9",2024-06-25,"Open_SMO9",32.2527777777778,19.7777777777778,31.3388888888889,70,32.9444444444444,20,32.2777777777778,71.5,28.4345679012346,18.108024691358,27.5672839506173,38.5066666666667,18.4083333333333,14.9388888888889,17.6861111111111,26.545,"open","urban","2024-06-25",6,25,2024,0
"2024-06-25_Open1_SLO1",2024-06-25,"Open1_SLO1",34.4194444444444,22.2777777777778,33.8888888888889,93.21,35.4444444444444,22.7777777777778,34.7777777777778,95.3,28.8104938271605,19.7462962962963,29.0135802469136,47.0366666666667,15.1888888888889,14.775,15.5722222222222,24.535,"open","urban","2024-06-25",6,25,2024,0
"2024-06-25_SweetHope_SH4",2024-06-25,"SweetHope_SH4",31.6666666666667,19.2777777777778,30.7222222222222,64.255,32.4444444444444,19.7777777777778,31.7222222222222,65.5,27.7271604938272,17.7283950617284,26.7962962962963,38.9411111111111,18.65,14.5138888888889,17.675,27.515,"open","urban","2024-06-25",6,25,2024,0
"2024-06-26_Classroom_SMC7",2024-06-26,"Classroom_SMC7",33.5555555555556,23.8888888888889,37.3388888888889,75.3,33.7777777777778,24.1111111111111,37.7222222222222,75.7,29.7783950617284,22.6666666666667,32.270987654321,56.0688888888889,23.5805555555556,20.3277777777778,24.3277777777778,44.39,"forest","urban","2024-06-26",6,26,2024,0
"2024-06-26_Forest3_SLR3",2024-06-26,"Forest3_SLR3",33.7777777777778,25.3888888888889,39.5611111111111,83.1,34.6111111111111,25.7222222222222,40.7777777777778,83.5,29.4481481481481,23.7895061728395,33.2148148148148,64.2066666666667,23.1055555555556,21,24.1611111111111,50.49,"forest","urban","2024-06-26",6,26,2024,0
"2024-06-26_NEON007_N7",2024-06-26,"NEON007_N7",34.3083333333333,25.6722222222222,40.6222222222222,75.345,34.6666666666667,26,41.1111111111111,85.3,30.8561728395062,23.9623456790123,34.9203703703704,57.6233333333333,25.1444444444444,21.7472222222222,26.35,49.045,"open","exurban","2024-06-26",6,26,2024,0
"2024-06-26_NEON019_N19",2024-06-26,"NEON019_N19",31.5305555555556,26.8388888888889,39.1111111111111,90.81,32.2777777777778,27.5,41.7777777777778,91.2,27.6827160493827,24.8679012345679,32.5469135802469,80.3055555555556,22.6111111111111,21.3277777777778,23.7777777777778,68.27,"forest","exurban","2024-06-26",6,26,2024,0
"2024-06-26_Open_SMO9",2024-06-26,"Open_SMO9",35.3694444444444,23.7777777777778,39.1111111111111,71,36.1111111111111,24.2222222222222,40.2777777777778,71.4,31.3882716049383,22.5777777777778,33.7308641975309,48.8044444444444,24.1361111111111,20.3277777777778,24.7222222222222,36.945,"open","urban","2024-06-26",6,26,2024,1
"2024-06-26_Open1_SLO1",2024-06-26,"Open1_SLO1",36.3388888888889,25.95,42.5111111111111,82.895,37.1111111111111,26.3888888888889,44.3888888888889,87,31.5030864197531,24.2932098765432,36.0376543209877,56.96,23.3972222222222,21.2972222222222,24.5638888888889,42.535,"open","urban","2024-06-26",6,26,2024,1
"2024-06-26_SweetHope_SH4",2024-06-26,"SweetHope_SH4",34.7527777777778,24,38.725,75.165,35.7777777777778,24.3888888888889,40,75.6,30.7487654320988,22.429012345679,33.0438271604938,50.9588888888889,22.9638888888889,19.7972222222222,23.6611111111111,38.8,"open","urban","2024-06-26",6,26,2024,1
"2024-06-27_Classroom_SMC7",2024-06-27,"Classroom_SMC7",28.9444444444444,21.2777777777778,29.3444444444444,100,29.1111111111111,21.7777777777778,30,100,25.4631710362047,20.5343320848939,26.101747815231,67.2741573033708,20.5444444444444,19.7444444444444,21.6111111111111,45.62,"forest","urban","2024-06-27",6,27,2024,0
"2024-06-27_Forest3_SLR3",2024-06-27,"Forest3_SLR3",30.2888888888889,22.8388888888889,32.1722222222222,98.7,31.1111111111111,23.3888888888889,33.3888888888889,98.7,25.4283950617284,21.8993827160494,26.9197530864198,75.5377777777778,21.3833333333333,21.1611111111111,22.4388888888889,50.06,"forest","urban","2024-06-27",6,27,2024,0
"2024-06-27_NEON007_N7",2024-06-27,"NEON007_N7",30.9194444444444,23.1111111111111,32.7777777777778,100,32.2777777777778,23.7777777777778,34.6111111111111,100,26.7827160493827,22.1327160493827,28.4456790123457,69.3533333333333,21.3583333333333,21.2222222222222,22.4388888888889,46.125,"open","exurban","2024-06-27",6,27,2024,0
"2024-06-27_NEON019_N19",2024-06-27,"NEON019_N19",26.3333333333333,24.2777777777778,29.7638888888889,100,27.1111111111111,25,31.2222222222222,100,23.9592592592593,23.1302469135802,26.0561728395062,93.5944444444444,21.1111111111111,21.1111111111111,22.2222222222222,82.07,"forest","exurban","2024-06-27",6,27,2024,0
"2024-06-27_Open_SMO9",2024-06-27,"Open_SMO9",31.7638888888889,21.6722222222222,32.2027777777778,100,33.3333333333333,22.2777777777778,35,100,27.1512345679012,20.5833333333333,27.8049382716049,59.0777777777778,20.4388888888889,19.5,21.4888888888889,37.09,"open","urban","2024-06-27",6,27,2024,0
"2024-06-27_Open1_SLO1",2024-06-27,"Open1_SLO1",31.9055555555556,23.7222222222222,34.325,100,33.5555555555556,24.7222222222222,36.2777777777778,100,26.9969135802469,22.2981481481481,28.8697530864198,69.0055555555556,21.2722222222222,20.7222222222222,22.3277777777778,45.98,"open","urban","2024-06-27",6,27,2024,0
"2024-06-27_SweetHope_SH4",2024-06-27,"SweetHope_SH4",30.4,21.1777777777778,30.7555555555556,98.32,31.3333333333333,22.1111111111111,32.5,99,26.4588014981273,20.0530586766542,26.8451935081149,59.0831460674157,20.3333333333333,19.2222222222222,21.2777777777778,39.14,"open","urban","2024-06-27",6,27,2024,0
"2024-06-28_Classroom_SMC7",2024-06-28,"Classroom_SMC7",26.1472222222222,19.1111111111111,25.6722222222222,59.66,26.4444444444444,19.7777777777778,26,63.8,23.7425925925926,16.8117283950617,23.0814814814815,50.1722222222222,19.6361111111111,14.1666666666667,18.6111111111111,43.89,"forest","urban","2024-06-28",6,28,2024,0
"2024-06-28_Forest3_SLR3",2024-06-28,"Forest3_SLR3",29.0361111111111,20.7222222222222,28.5527777777778,66.72,29.6666666666667,21.1111111111111,29.7777777777778,69.4,25.2827160493827,18.1043209876543,24.9956790123457,50.5566666666667,21.1916666666667,15,20.7222222222222,39.225,"forest","urban","2024-06-28",6,28,2024,0
"2024-06-28_NEON007_N7",2024-06-28,"NEON007_N7",28.0055555555556,20.5,27.7222222222222,68.61,28.2222222222222,20.7222222222222,27.8888888888889,70.5,25.4216049382716,17.8166666666667,24.8962962962963,47.9722222222222,21.6666666666667,14.8888888888889,21.2777777777778,40.025,"open","exurban","2024-06-28",6,28,2024,0
"2024-06-28_NEON019_N19",2024-06-28,"NEON019_N19",25.0305555555556,21.6111111111111,25.5611111111111,86.62,25.1666666666667,21.7777777777778,25.7777777777778,88.9,22.9438271604938,19.4938271604938,23.3518518518519,73.4933333333333,19.4138888888889,17.2777777777778,19.6111111111111,57.035,"forest","exurban","2024-06-28",6,28,2024,0
